"title","artist","year","num_words","id","duration_ms","popularity","danceability","energy","loudness","valence","tempo"
"LA LA LA","Naughty Boy","2014","382","36pLU2ywVeBKEF0rrKtmCB","222200","62","0.772","0.65","-5.202","0.262","125.082"
"BLURRED LINES","Robin Thicke","2014","744","0n4bITAu0Y0nigrz3MFJMb","263826","74","0.862","0.608","-4.762","0.836","120.002"
"DO WHAT U WANT","Lady Gaga","2014","558","5XKXMWPACPq51OiqzxenZo","216573","56","0.777","0.794","-4.665","0.529","97.505"
"AMNESIA","5 Seconds Of Summer","2014","456","1JCCdiru7fhstOIF4N7WJC","237247","68","0.572","0.499","-5.237","0.108","101.593"
"BELIEVE ME","Lil Wayne","2014","888","6t2eIONH4Sax3R21QWiKNp","337640","61","0.84","0.483","-8.838","0.198","91.992"
"BEACHIN'","Jake Owen","2014","231","5dNGORzxFb5z3v7vSAFkTU","191040","61","0.527","0.902","-5.352","0.709","181.964"
"WHITE WALLS","Macklemore & Ryan Lewis","2014","636","6I3KeXBT0E9MoMqYz8srVq","220319","62","0.767","0.782","-5.545","0.827","116.491"
"SHE LOOKS SO PERFECT","5 Seconds Of Summer","2014","353","1gugDOSMREb34Xo0c1PlxM","202496","68","0.493","0.956","-4.221","0.47","160.006"
"STAY THE NIGHT","Zedd","2014","301","2QtJA4gbwe1AcanB2p21aP","217346","62","0.596","0.738","-3.109","0.461","127.961"
"PARTITION","Beyonce","2014","687","5hgnY0mVcVetszbb85qeDg","319466","71","0.412","0.441","-11.523","0.174","185.571"
"I DON'T DANCE","Lee Brice","2014","207","5aj0xPGiEUN3aI2oOYu14S","221173","70","0.587","0.559","-7.742","0.19","92.036"
"SOMETHIN' BAD","Miranda Lambert","2014","332","6s9m5J92By7jii22Q2XtY2","169586","64","0.68","0.888","-5.308","0.484","90.076"
"ADORE YOU","Miley Cyrus","2014","224","5AnCLGg35ziFOloEnXK4uu","278746","73","0.583","0.655","-5.407","0.201","119.759"
"THRIFT SHOP","Macklemore","2013","692","4YMqbFcDIFiCBd02PzUBcM","235613","72","0.781","0.526","-6.985","0.662","94.992"
"BLURRED LINES","Robin Thicke","2013","744","0n4bITAu0Y0nigrz3MFJMb","263826","74","0.862","0.608","-4.762","0.836","120.002"
"RADIOACTIVE","Imagine Dragons","2013","227","4G8gkOterJn0Ywt6uhqbhp","186813","73","0.448","0.784","-3.686","0.236","136.245"
"HARLEM SHAKE","Baauer","2013","34","01XFgRZfZI7oBagNf1Loml","196664","58","0.452","0.794","-5.151","0.282","137.825"
"CAN'T HOLD US","Macklemore","2013","657","3bidbhpOYeV4knp8AIu8Xn","258342","82","0.641","0.922","-4.457","0.847","146.078"
"MIRRORS","Justin Timberlake","2013","647","4rHZZAmHpZrA3iH5zx8frV","484146","77","0.574","0.512","-6.664","0.512","76.899"
"WHEN I WAS YOUR MAN","Bruno Mars","2013","301","0nJW01T7XtvILxQgC5J7Wh","213826","82","0.612","0.28","-8.648","0.387","72.795"
"CRUISE","Florida Georgia Line","2013","413","0i5el041vd6nxrGEU8QRxy","208960","69","0.457","0.948","-3.364","0.878","148"
"ROAR","Katy Perry","2013","347","6F5c58TMEs1byxUstkzVeM","223546","77","0.554","0.772","-4.821","0.455","179.984"
"LOCKED OUT OF HEAVEN","Bruno Mars","2013","306","3w3y8KPTfNeOKPiqUTakBh","233478","79","0.726","0.698","-4.165","0.867","143.994"
"HO HEY","Lumineers","2013","217","0W4Kpfp1w2xkY3PrV714B7","163133","70","0.685","0.466","-9.074","0.353","79.936"
"STAY","Rihanna","2013","262","1dEy9Pl81QopSxNsPxXQxv","240706","68","0.619","0.324","-10.146","0.0965","111.927"
"GET LUCKY","Daft Punk","2013","586","69kOkLUCkxIZYexIgSG8rq","369626","71","0.81","0.793","-9.404","0.863","116.049"
"ROYALS","Lorde","2013","375","2dLLR6qlu5UJ5gk0dKz0h3","190185","77","0.616","0.432","-9.546","0.302","84.778"
"WE CAN'T STOP","Miley Cyrus","2013","567","2y4lAQpi5VTNLu2ldeTdUH","231240","79","0.613","0.622","-5.794","0.484","80.003"
"WRECKING BALL","Miley Cyrus","2013","335","2vwlzO0Qp8kfEtzTsCXfyE","221360","75","0.53","0.422","-6.262","0.349","119.964"
"WAKE ME UP","Avicii","2013","249","4h8VwCb1MTGoLKueQ1WgbD","247426","84","0.518","0.784","-5.659","0.588","124.102"
"CUPS","Anna Kendrick","2013","137","6mH3qVIeOsnQIAho5eWwhH","128013","59","0.871","0.442","-8.766","0.769","129.964"
"HOLY GRAIL","Jay Z","2013","701","2t2rwus7ggTrrj9kpA1K2e","176850","6","0.801","0.478","-7.776","0.187","144.015"
"CLARITY","Zedd","2013","242","60wwxj6Dd9NJlirf84wr2c","271426","73","0.509","0.781","-3.48","0.176","128"
"SAIL","AWOLNATION","2013","133","5xhQChGGhKLWqBqX4XhtYE","259102","73","0.825","0.435","-9.582","0.243","119.038"
"DON'T YOU WORRY CHILD","Swedish House Mafia","2013","242","2V65y3PX4DkRhy1djlxd9p","212862","78","0.612","0.84","-3.145","0.438","129.042"
"DIAMONDS","Rihanna","2013","374","1z9kQ14XBSN0r2v6fx4IdG","225146","64","0.564","0.71","-4.92","0.393","91.972"
"I LOVE IT","Icona Pop","2013","303","3VZQshi4COChhXaz7cLP02","155337","68","0.714","0.905","-2.663","0.838","125.927"
"TREASURE","Bruno Mars","2013","285","55h7vJchibLdUkxdlX3fK7","178560","76","0.874","0.692","-5.28","0.937","116.017"
"THE WAY","Ariana Grande","2013","710","06EL94D0TA27Ik0Ke5usbj","227026","71","0.644","0.879","-3.179","0.83","82.518"
"DAYLIGHT","Maroon 5","2013","314","6TwfdLbaxTKzQi3AgsZNzx","225306","58","0.657","0.679","-5.511","0.331","120.007"
"FEEL THIS MOMENT","Pitbull","2013","396","0Hf4aIJpsN4Os2f0y0VqWl","229506","67","0.673","0.758","-3.632","0.542","135.956"
"APPLAUSE","Lady Gaga","2013","403","5ka2ajep9OAvU5Sgduhiex","212333","68","0.669","0.78","-4.287","0.738","139.945"
"ONE MORE NIGHT","Maroon 5","2013","505","4XNrMwGx1SqP01sqkGTDmo","219466","68","0.71","0.8","-3.439","0.635","93.01"
"LOVE ME","Lil Wayne","2013","711","7tGlzXJv6GD5e5qlu5YmDg","253440","67","0.674","0.608","-6.628","0.464","124.952"
"BEAUTY AND A BEAT","Justin Bieber","2013","304","190jyVPHYjAqEaOGmMzdyk","227986","71","0.601","0.843","-4.87","0.534","128.002"
"SAME LOVE","Macklemore","2013","672","01uqI4H13Gsd8Lyl1EYd8H","318525","68","0.688","0.473","-9.059","0.299","84.958"
"SWEET NOTHING","Calvin Harris","2013","225","24LS4lQShWyixJ0ZrJXfJ5","212560","72","0.573","0.929","-3.942","0.582","127.934"
"SUMMERTIME SADNESS","Lana Del Rey","2013","282","6PUIzlqotEmPuBfjbwYWOB","214912","74","0.564","0.811","-5.734","0.114","126.007"
"HOME","Phillip Phillips","2013","131","4rsW3WCZBGwhHfJWuHRwyT","210173","66","0.607","0.816","-6.02","0.355","121.029"
